"Classification","Target","Shorthand","Prediction","Probability"
"Organ toxicity","Hepatotoxicity","dili","Inactive","0.72"
"Organ toxicity","Neurotoxicity","neuro","Inactive","0.75"
"Organ toxicity","Nephrotoxicity","nephro","Active","0.58"
"Organ toxicity","Respiratory toxicity","respi","Inactive","0.94"
"Organ toxicity","Cardiotoxicity","cardio","Inactive","0.75"
"Toxicity end points","Carcinogenicity","carcino","Inactive","0.79"
"Toxicity end points","Immunotoxicity","immuno","Inactive","0.79"
"Toxicity end points","Mutagenicity","mutagen","Inactive","0.91"
"Toxicity end points","Cytotoxicity","cyto","Inactive","0.81"
"Toxicity end points","BBB-barrier","bbb","Active","0.85"
"Toxicity end points","Ecotoxicity","eco","Inactive","0.56"
"Toxicity end points","Clinical toxicity","clinical","Inactive","0.64"
"Toxicity end points","Nutritional toxicity","nutri","Inactive","0.96"
