"Classification","Target","Shorthand","Prediction","Probability"
"Organ toxicity","Hepatotoxicity","dili","Inactive","0.54"
"Organ toxicity","Neurotoxicity","neuro","Inactive","0.61"
"Organ toxicity","Nephrotoxicity","nephro","Active","0.58"
"Organ toxicity","Respiratory toxicity","respi","Inactive","0.69"
"Organ toxicity","Cardiotoxicity","cardio","Inactive","0.81"
"Toxicity end points","Carcinogenicity","carcino","Inactive","0.62"
"Toxicity end points","Immunotoxicity","immuno","Inactive","0.64"
"Toxicity end points","Mutagenicity","mutagen","Inactive","0.86"
"Toxicity end points","Cytotoxicity","cyto","Inactive","0.69"
"Toxicity end points","BBB-barrier","bbb","Active","0.82"
"Toxicity end points","Ecotoxicity","eco","Inactive","0.61"
"Toxicity end points","Clinical toxicity","clinical","Active","0.50"
"Toxicity end points","Nutritional toxicity","nutri","Inactive","0.93"
